Site	Plant_species	Bird_species	Fruit_availability_avgWeek	Observed_frugivory_visits	Random_mean_visits	Random_SD_visits	Random_2.5Quant	Random_97.5Quant	Selection_strength	Pvalue
Argentina	Aristotelia_chilensis	Anairetes_parulus	2149	4	21.4099	4.285524304	13	30	-4.062	0
Argentina	Azara_microphylla	Anairetes_parulus	2565.142857	7	25.58	4.532709404	17	35	-4.099	0
Argentina	Maytenus_sp_boaria	Anairetes_parulus	551.7142857	96	5.4595	2.268099243	2	10	39.919	0
Argentina	Prunus_avium	Anairetes_parulus	63.28571429	2	0.6416	0.795620978	0	3	1.707	0.088
Argentina	Prunus_cerasus	Anairetes_parulus	629.8571429	29	6.2423	2.440038133	2	11	9.327	0
Argentina	Schinus_patagonicus	Anairetes_parulus	64.71428571	5	0.6393	0.788325856	0	3	5.532	0
Argentina	Maytenus_sp_boaria	Aphrastura_spinicauda	551.7142857	9	0.4223	0.637654585	0	2	13.452	0
Argentina	Prunus_avium	Aphrastura_spinicauda	63.28571429	1	0.0476	0.220315896	0	1	4.323	0
Argentina	Prunus_cerasus	Aphrastura_spinicauda	629.8571429	1	0.4831	0.676431923	0	2	0.764	0.445
Argentina	Maytenus_sp_boaria	Colorhamphus_parvirostris	551.7142857	41	1.6759	1.284921901	0	5	30.604	0
Argentina	Prunus_cerasus	Colorhamphus_parvirostris	629.8571429	3	1.9364	1.366214366	0	5	0.779	0.436
Argentina	Prunus_avium	Curaeus_curaeus	63.28571429	3	0.0177	0.134121247	0	0	22.236	0
Argentina	Rubus_idaeus	Curaeus_curaeus	3976.833333	1	1.1091	0.893127627	0	3	-0.122	0.903
Argentina	Aristotelia_chilensis	Elaenia_albiceps	2149	208	226.8275	13.84540766	200	254	-1.36	0.174
Argentina	Azara_microphylla	Elaenia_albiceps	2565.142857	865	270.5479	14.77511205	242	300	40.233	0
Argentina	Maytenus_sp_boaria	Elaenia_albiceps	551.7142857	389	58.2324	7.443153249	44	73	44.439	0
Argentina	Prunus_avium	Elaenia_albiceps	63.28571429	5	6.6798	2.563538401	2	12	-0.655	0.512
Argentina	Prunus_cerasus	Elaenia_albiceps	629.8571429	18	66.6	8.01085622	51	83	-6.067	0
Argentina	Rubus_idaeus	Elaenia_albiceps	3976.833333	5	420.0277	17.37764457	386	455	-23.883	0
Argentina	Schinus_patagonicus	Elaenia_albiceps	64.71428571	20	6.859	2.581702058	2	12	5.09	0
Argentina	Tristerix_corymbosus	Elaenia_albiceps	3619.428571	6	381.898	16.8417327	350	415	-22.319	0
Argentina	Maytenus_sp_boaria	Melanodera_xanthogramma	551.7142857	1	0.0397	0.195263214	0	1	4.918	0
Argentina	Aristotelia_chilensis	Phrygilus_patagonicus	2149	2	4.4741	1.960947149	1	9	-1.262	0.207
Argentina	Azara_microphylla	Phrygilus_patagonicus	2565.142857	6	5.3671	2.07107859	2	10	0.306	0.76
Argentina	Galium_hypocarpium	Phrygilus_patagonicus	642.4285714	2	1.3357	1.132313439	0	4	0.587	0.557
Argentina	Maytenus_sp_boaria	Phrygilus_patagonicus	551.7142857	15	1.1541	1.06153939	0	4	13.043	0
Argentina	Prunus_cerasus	Phrygilus_patagonicus	629.8571429	5	1.3152	1.124622353	0	4	3.276	0.001
Argentina	Prunus_cerasus	Scelorchilus_rubecula	629.8571429	1	0.0442	0.205549471	0	1	4.65	0
Argentina	Maytenus_sp_boaria	Troglodytes_aedon	551.7142857	2	0.0784	0.273607248	0	1	7.023	0
Argentina	Azara_microphylla	Turdus_falcklandii	2565.142857	10	3.3903	1.653069622	1	7	3.998	0
Argentina	Prunus_avium	Turdus_falcklandii	63.28571429	3	0.0843	0.291207813	0	1	10.012	0
Argentina	Prunus_cerasus	Turdus_falcklandii	629.8571429	4	0.8519	0.908211911	0	3	3.466	0.001
Argentina	Rubus_idaeus	Turdus_falcklandii	3976.833333	1	5.2662	1.920860883	2	9	-2.221	0.026
Argentina	Sorbus_aucuparia	Turdus_falcklandii	98.33333333	1	0.1293	0.353827683	0	1	2.461	0.014
Argentina	Maytenus_sp_boaria	Xolmis_pyrope	551.7142857	9	0.6234	0.775133874	0	2	10.807	0
Argentina	Prunus_cerasus	Xolmis_pyrope	629.8571429	7	0.7027	0.828602057	0	3	7.6	0
Brazil	Lantana_camara	Camptostoma_obsoletum	29	1	0.0331	0.180575886	0	1	5.355	0
Brazil	Miconia_albicans	Camptostoma_obsoletum	4333.833333	6	4.5279	1.393992795	2	7	1.056	0.291
Brazil	Schefflera_tuberosa	Camptostoma_obsoletum	808.3333333	1	0.8547	0.878786172	0	3	0.165	0.869
Brazil	Byrsonima_coccolobifolia	Conirostrum_speciosum	894.1666667	1	0.9397	0.911453227	0	3	0.066	0.947
Brazil	Miconia_albicans	Conirostrum_speciosum	4333.833333	7	4.5198	1.412164077	2	7	1.756	0.079
Brazil	Miconia_albicans	Coryphospingus_cucullatus	4333.833333	11	7.9368	1.856111601	4	11	1.65	0.099
Brazil	Schefflera_tuberosa	Coryphospingus_cucullatus	808.3333333	3	1.4657	1.139540857	0	4	1.346	0.178
Brazil	Miconia_albicans	Cyanocorax_cristatellus	4333.833333	1	0.5644	0.495860089	0	1	0.878	0.38
Brazil	Byrsonima_coccolobifolia	Elaenia_sp	894.1666667	2	5.269	2.155435824	2	10	-1.517	0.129
Brazil	Erythroxylum_campestris	Elaenia_sp	6.25	1	0.0352	0.190695035	0	1	5.059	0
Brazil	Erythroxylum_suberosum	Elaenia_sp	61.83333333	2	0.3593	0.593833962	0	2	2.763	0.006
Brazil	Miconia_albicans	Elaenia_sp	4333.833333	15	25.5198	3.330483024	19	32	-3.159	0.002
Brazil	Myrcia_guianensis	Elaenia_sp	430.6666667	7	2.5245	1.532786578	0	6	2.92	0.004
Brazil	Myrcia_sp1	Elaenia_sp	967	9	5.7141	2.22949731	2	10	1.474	0.14
Brazil	Schefflera_tuberosa	Elaenia_sp	808.3333333	9	4.7594	2.037431411	1	9	2.081	0.037
Brazil	Byrsonima_coccolobifolia	Mimus_saturninus	894.1666667	6	1.416	1.121815425	0	4	4.086	0
Brazil	Erythroxylum_suberosum	Mimus_saturninus	61.83333333	2	0.0937	0.306479531	0	1	6.22	0
Brazil	Miconia_albicans	Mimus_saturninus	4333.833333	2	6.7749	1.721257175	3	10	-2.774	0.006
Brazil	Myrcia_guianensis	Mimus_saturninus	430.6666667	2	0.6797	0.803101742	0	3	1.644	0.1
Brazil	Miconia_albicans	Molothrus_bonariensis	4333.833333	1	0.5679	0.495392906	0	1	0.872	0.383
Brazil	Erythroxylum_suberosum	Myiarchus_ferox	61.83333333	2	0.0739	0.27027041	0	1	7.127	0
Brazil	Miconia_albicans	Myiarchus_ferox	4333.833333	4	5.1067	1.487123486	2	8	-0.744	0.457
Brazil	Myrcia_guianensis	Myiarchus_ferox	430.6666667	1	0.5064	0.690222197	0	2	0.715	0.475
Brazil	Myrcia_sp1	Myiarchus_ferox	967	2	1.1326	0.994744285	0	3	0.872	0.383
Brazil	Erythroxylum_suberosum	Myiodynastes_maculatus	61.83333333	1	0.0095	0.097008716	0	0	10.21	0
Brazil	Miconia_albicans	Myiophobus_fasciatus	4333.833333	1	0.5626	0.496090567	0	1	0.882	0.378
Brazil	Miconia_albicans	Nemosia_pileata	4333.833333	4	2.8441	1.106940704	1	5	1.044	0.296
Brazil	Schefflera_tuberosa	Nemosia_pileata	808.3333333	1	0.5254	0.690798495	0	2	0.687	0.492
Brazil	Erythroxylum_suberosum	Patagioenas_picazuro	61.83333333	1	0.0143	0.1212311	0	0	8.131	0
Brazil	Myrcia_sp1	Patagioenas_picazuro	967	1	0.2594	0.473850286	0	1	1.563	0.118
Brazil	Byrsonima_coccolobifolia	Pitangus_sulphuratus	894.1666667	14	12.5969	3.352988912	6	20	0.418	0.676
Brazil	Erythroxylum_suberosum	Pitangus_sulphuratus	61.83333333	14	0.8626	0.928120348	0	3	14.155	0
Brazil	Eugenia_2sp	Pitangus_sulphuratus	5.833333333	1	0.086	0.29327905	0	1	3.116	0.002
Brazil	Lantana_camara	Pitangus_sulphuratus	29	2	0.4169	0.640886467	0	2	2.47	0.014
Brazil	Miconia_albicans	Pitangus_sulphuratus	4333.833333	38	61.2311	5.123994372	51	71	-4.534	0
Brazil	Myrcia_guianensis	Pitangus_sulphuratus	430.6666667	17	6.1218	2.405190898	2	11	4.523	0
Brazil	Myrcia_sp1	Pitangus_sulphuratus	967	17	13.6375	3.42170492	7	21	0.983	0.326
Brazil	Rubiaceae_sp	Pitangus_sulphuratus	48.2	3	0.6809	0.826524957	0	3	2.806	0.005
Brazil	Schefflera_tuberosa	Pitangus_sulphuratus	808.3333333	2	11.4345	3.157135806	6	18	-2.988	0.003
Brazil	Myrcia_guianensis	Ramphastos_toco	430.6666667	4	0.3306	0.554377465	0	2	6.619	0
Brazil	Myrcia_sp1	Ramphastos_toco	967	2	0.7662	0.821465179	0	3	1.502	0.133
Brazil	Byrsonima_coccolobifolia	Ramphocelus_carbo	894.1666667	1	1.2883	1.071399972	0	4	-0.269	0.788
Brazil	Miconia_albicans	Ramphocelus_carbo	4333.833333	6	6.221	1.639093549	3	9	-0.135	0.893
Brazil	Miconia_sp	Ramphocelus_carbo	38.83333333	1	0.0587	0.240125126	0	1	3.92	0
Brazil	Myrcia_sp1	Ramphocelus_carbo	967	3	1.3957	1.095190145	0	4	1.465	0.143
Brazil	Anonnacea_sp	Schistochlamys_ruficapillus	4.75	1	0.0123	0.111130306	0	0	8.888	0
Brazil	Byrsonima_coccolobifolia	Schistochlamys_ruficapillus	894.1666667	3	2.4512	1.449354554	0	6	0.379	0.705
Brazil	Lantana_camara	Schistochlamys_ruficapillus	29	3	0.0782	0.280165325	0	1	10.429	0
Brazil	Miconia_albicans	Schistochlamys_ruficapillus	4333.833333	6	11.9531	2.270069539	7	16	-2.622	0.009
Brazil	Myrcia_guianensis	Schistochlamys_ruficapillus	430.6666667	2	1.1683	1.042249365	0	4	0.798	0.425
Brazil	Myrcia_sp1	Schistochlamys_ruficapillus	967	6	2.6563	1.540067366	0	6	2.171	0.03
Brazil	Byrsonima_coccolobifolia	Tangara_cayana	894.1666667	11	6.1938	2.339869453	2	11	2.054	0.04
Brazil	Miconia_albicans	Tangara_cayana	4333.833333	19	30.0799	3.575079595	23	37	-3.099	0.002
Brazil	Myrcia_guianensis	Tangara_cayana	430.6666667	13	2.985	1.688922806	0	7	5.93	0
Brazil	Myrcia_sp1	Tangara_cayana	967	8	6.7022	2.419979502	2	12	0.536	0.592
Brazil	Schefflera_tuberosa	Tangara_cayana	808.3333333	1	5.5753	2.243353109	2	10	-2.039	0.041
Brazil	Smilax_1sp	Tangara_cayana	1.4	1	0.0094	0.098552581	0	0	10.051	0
Brazil	Byrsonima_coccolobifolia	Thraupis_sayaca	894.1666667	25	12.1438	3.280639849	6	19	3.919	0
Brazil	Erythroxylum_suberosum	Thraupis_sayaca	61.83333333	2	0.8427	0.911833238	0	3	1.269	0.204
Brazil	Miconia_albicans	Thraupis_sayaca	4333.833333	21	58.9005	5.029426335	49	69	-7.536	0
Brazil	Myrcia_guianensis	Thraupis_sayaca	430.6666667	17	5.8717	2.358176246	2	11	4.719	0
Brazil	Myrcia_sp1	Thraupis_sayaca	967	37	13.1527	3.417389437	7	20	6.978	0
Brazil	Smilax_1sp	Thraupis_sayaca	1.4	2	0.0187	0.13547009	0	0	14.625	0
Brazil	Byrsonima_coccolobifolia	Turdus_amaurochalinus	894.1666667	2	3.1581	1.674988044	0	7	-0.691	0.49
Brazil	Miconia_albicans	Turdus_amaurochalinus	4333.833333	11	15.3592	2.587517127	10	20	-1.685	0.092
Brazil	Myrcia_sp1	Turdus_amaurochalinus	967	14	3.394	1.723038272	0	7	6.155	0
Brazil	Byrsonima_coccolobifolia	Turdus_leucomelas	894.1666667	3	11.1564	3.13249426	5	18	-2.604	0.009
Brazil	Miconia_albicans	Turdus_leucomelas	4333.833333	20	53.7592	4.847346185	44	63	-6.964	0
Brazil	Myrcia_guianensis	Turdus_leucomelas	430.6666667	9	5.3225	2.240668608	1	10	1.641	0.101
Brazil	Myrcia_sp1	Turdus_leucomelas	967	62	12.026	3.268545906	6	19	15.289	0
Brazil	Ocotea_1sp	Turdus_leucomelas	15.66666667	1	0.1887	0.436476072	0	1	1.859	0.063
Brazil	Miconia_albicans	Tyrannus_melancholicus	4333.833333	3	1.7046	0.856745144	0	3	1.512	0.131
Brazil	Miconia_albicans	Tyrannus_savana	4333.833333	3	1.7079	0.856183914	0	3	1.509	0.131
Brazil	Miconia_albicans	Volatinia_jacarina	4333.833333	8	5.677	1.54890636	3	9	1.5	0.134
Brazil	Schefflera_tuberosa	Volatinia_jacarina	808.3333333	2	1.0531	0.966733597	0	3	0.979	0.328
Moyobamba	Schefflera_morototoni	Aburria_aburri	3916.111111	1	0.2247	0.417405478	0	1	1.857	0.063
Moyobamba	Cecropia_sp	Brotogeris_cyanoptera	115	14	0.1067	0.325462291	0	1	42.688	0
Moyobamba	Nectandra_sp1	Brotogeris_cyanoptera	6002.888889	2	5.39	1.880226988	2	9	-1.803	0.071
Moyobamba	Cecropia_sp	Cacicus_cela	115	3	0.0272	0.165114767	0	1	18.004	0
Moyobamba	Tetrorchidium_sp	Cacicus_cela	1522.444444	1	0.3449	0.558905383	0	2	1.172	0.241
Moyobamba	Nectandra_sp1	Camptostoma_obsoletum	6002.888889	1	0.3355	0.472188571	0	1	1.407	0.159
Moyobamba	Cecropia_sp	Capito_auratus	115	59	0.5139	0.707571096	0	2	82.658	0
Moyobamba	Miconia_sp3	Capito_auratus	642.4444444	3	2.9209	1.675626439	0	7	0.047	0.963
Moyobamba	Miconia_sp5	Capito_auratus	685.7142857	1	3.1181	1.756889597	0	7	-1.206	0.228
Moyobamba	Myrsine_sp	Capito_auratus	3862.888889	11	17.5236	3.679238606	11	25	-1.773	0.076
Moyobamba	Nectandra_sp1	Capito_auratus	6002.888889	4	27.2422	4.252898761	19	36	-5.465	0
Moyobamba	Schefflera_morototoni	Capito_auratus	3916.111111	2	17.7416	3.726689987	11	25	-4.224	0
Moyobamba	Tetrorchidium_sp	Capito_auratus	1522.444444	1	6.9014	2.513386113	2	12	-2.348	0.019
Moyobamba	Cecropia_sp	Chlorophanes_spiza	115	19	0.1379	0.372689522	0	1	50.611	0
Moyobamba	Miconia_sp3	Chlorophanes_spiza	642.4444444	1	0.748	0.854265168	0	3	0.295	0.768
Moyobamba	Tetrorchidium_sp	Chlorophanes_spiza	1522.444444	1	1.7919	1.281545405	0	5	-0.618	0.537
Moyobamba	Cecropia_sp	Chlorophonia_cyanea	115	8	0.0552	0.234858417	0	1	33.828	0
Moyobamba	Cecropia_sp	Claravis_pretiosa	115	1	0.0061	0.077867813	0	0	12.764	0
Moyobamba	Bellucia_pentamera	Coereba_flaveola	8.222222222	1	0.0016	0.039969986	0	0	24.979	0
Moyobamba	Cecropia_sp	Coereba_flaveola	115	2	0.0207	0.144476979	0	0	13.7	0
Moyobamba	Myrsine_sp	Contopus_virens	3862.888889	2	0.4402	0.58962592	0	2	2.645	0.008
Moyobamba	Cecropia_sp	Cyanerpes_caeruleus	115	32	0.2279	0.478523237	0	1	66.396	0
Moyobamba	Miconia_sp4	Cyanerpes_caeruleus	25	1	0.0478	0.217990624	0	1	4.368	0
Moyobamba	Myrsine_sp	Cyanerpes_caeruleus	3862.888889	1	7.5424	2.404949192	3	13	-2.72	0.007
Moyobamba	Nectandra_sp1	Cyanerpes_caeruleus	6002.888889	1	11.7652	2.797829828	7	17	-3.848	0
Moyobamba	Cecropia_sp	Cyanerpes_cyaneus	115	2	0.0119	0.108441532	0	0	18.333	0
Moyobamba	Cecropia_sp	Cyanerpes_nitidus	115	4	0.0258	0.161049538	0	1	24.677	0
Moyobamba	Cecropia_sp	Dacnis_cayana	115	8	0.0726	0.270437708	0	1	29.313	0
Moyobamba	Miconia_sp5	Dacnis_cayana	685.7142857	1	0.4324	0.648746736	0	2	0.875	0.382
Moyobamba	Tetrorchidium_sp	Dacnis_cayana	1522.444444	2	0.9386	0.927100853	0	3	1.145	0.252
Moyobamba	Cecropia_sp	Dacnis_lineata	115	17	0.1165	0.339026907	0	1	49.8	0
Moyobamba	Tetrorchidium_sp	Dacnis_lineata	1522.444444	1	1.5524	1.197579918	0	4	-0.461	0.645
Moyobamba	Myrsine_sp	Dixiphia_pipra	3862.888889	1	0.2169	0.412154555	0	1	1.9	0.057
Moyobamba	Miconia_sp3	Elaenia_flavogaster	642.4444444	1	0.5699	0.741194257	0	2	0.58	0.562
Moyobamba	Myrsine_sp	Elaenia_flavogaster	3862.888889	5	3.4758	1.664839791	1	7	0.916	0.36
Moyobamba	Nectandra_sp1	Elaenia_flavogaster	6002.888889	7	5.3637	1.902625635	2	9	0.86	0.39
Moyobamba	Schefflera_morototoni	Elaenia_flavogaster	3916.111111	3	3.5035	1.651563052	1	7	-0.305	0.76
Moyobamba	Cecropia_sp	Euphonia_chlorotica	115	18	0.1726	0.412827183	0	1	43.184	0
Moyobamba	Myrsine_sp	Euphonia_chlorotica	3862.888889	8	5.6226	2.097667576	2	10	1.133	0.257
Moyobamba	Cecropia_sp	Euphonia_laniirostris	115	28	0.1849	0.428637799	0	1	64.892	0
Moyobamba	Myrsine_sp	Euphonia_laniirostris	3862.888889	1	6.2571	2.223127036	2	11	-2.365	0.018
Moyobamba	Cecropia_sp	Euphonia_xanthogaster	115	17	0.1561	0.398181673	0	1	42.302	0
Moyobamba	Clidemia_sp	Euphonia_xanthogaster	23.22222222	2	0.0299	0.171490323	0	1	11.488	0
Moyobamba	Ficus_sp	Euphonia_xanthogaster	64	1	0.0903	0.296908615	0	1	3.064	0.002
Moyobamba	Myrsine_sp	Euphonia_xanthogaster	3862.888889	4	5.1864	2.024120734	2	9	-0.586	0.558
Moyobamba	Cecropia_sp	Hypocnemis_cantator	115	1	0.0073	0.085131867	0	0	11.661	0
Moyobamba	Cecropia_sp	Icterus_cayanensis	115	1	0.0069	0.082783303	0	0	11.996	0
Moyobamba	Cecropia_sp	Legatus_leucophaius	115	1	0.1048	0.32191198	0	1	2.781	0.005
Moyobamba	Nectandra_sp1	Legatus_leucophaius	6002.888889	15	5.3559	1.859349593	2	9	5.187	0
Moyobamba	Bellucia_pentamera	Machaeropterus_pyrocephalus	8.222222222	2	0.0361	0.190264053	0	1	10.322	0
Moyobamba	Cecropia_sp	Machaeropterus_pyrocephalus	115	1	0.4732	0.695363296	0	2	0.758	0.448
Moyobamba	Clidemia_sp	Machaeropterus_pyrocephalus	23.22222222	1	0.0967	0.308153543	0	1	2.931	0.003
Moyobamba	Miconia_sp3	Machaeropterus_pyrocephalus	642.4444444	43	2.6654	1.61440499	0	6	24.984	0
Moyobamba	Miconia_sp2	Machaeropterus_pyrocephalus	45.75	2	0.1856	0.434708566	0	1	4.174	0
Moyobamba	Miconia_sp3	Machaeropterus_pyrocephalus	296.1111111	9	1.2131	1.0950837	0	4	7.111	0
Moyobamba	Miconia_sp5	Machaeropterus_pyrocephalus	685.7142857	10	2.8329	1.661581679	0	7	4.313	0
Moyobamba	Miconia_sp6	Machaeropterus_pyrocephalus	61.5	4	0.2548	0.504878649	0	2	7.418	0
Moyobamba	Nectandra_sp1	Machaeropterus_pyrocephalus	6002.888889	1	24.9019	4.053457714	17	33	-5.897	0
Moyobamba	Tetrorchidium_sp	Machaeropterus_pyrocephalus	1522.444444	1	6.2875	2.379707976	2	11	-2.222	0.026
Moyobamba	Nectandra_sp1	Megarynchus_pitangua	6002.888889	1	0.3357	0.472258206	0	1	1.407	0.159
Moyobamba	Cecropia_sp	Melanerpes_cruentatus	115	72	0.4906	0.6936568	0	2	103.09	0
Moyobamba	Myrsine_sp	Melanerpes_cruentatus	3862.888889	3	16.2128	3.573456747	10	23	-3.697	0
Moyobamba	Tococa_guianensis	Mionectes_oleagineus	586.25	1	0.0289	0.167533868	0	1	5.796	0
Moyobamba	Nectandra_sp1	Myiarchus_semirufus	6002.888889	1	0.3334	0.471451659	0	1	1.414	0.157
Moyobamba	Cecropia_sp	Myiodynastes_luteiventris	115	1	0.0971	0.311899532	0	1	2.895	0.004
Moyobamba	Nectandra_sp1	Myiodynastes_luteiventris	6002.888889	14	5.0357	1.841131306	2	9	4.869	0
Moyobamba	Cecropia_sp	Myiodynastes_maculatus	115	11	0.2693	0.517498107	0	2	20.736	0
Moyobamba	Nectandra_sp1	Myiodynastes_maculatus	6002.888889	23	14.4234	3.093814734	8	21	2.772	0.006
Moyobamba	Tetrorchidium_sp	Myiodynastes_maculatus	1522.444444	9	3.6809	1.816206225	1	8	2.929	0.003
Moyobamba	Cecropia_sp	Myiopagis_gaimardii	115	1	0.0066	0.080975896	0	0	12.268	0
Moyobamba	Cecropia_sp	Myiozetetes_granadensis	115	1	0.2894	0.528843651	0	2	1.344	0.179
